GHI,Gen
0,0.013499997
1.566578507,0.111462508
14.72459602,1.429012545
33.79681778,6.15599051
81.7150116,14.1206959
125.6143494,22.48175248
172.4510498,32.20444985
223.1160126,52.29968335
272.7028809,72.27763929
318.0284424,85.85098572
360.1615295,97.77879316
401.813446,106.8334142
446.6434937,116.7065681
483.4429321,124.9834906
522.994812,131.9664087
551.4761353,138.1946776
580.4689941,143.5303371
610.8887329,147.3304045
628.3916626,149.9793844
643.9046631,151.4944229
655.7619019,153.1595875
660.7871704,153.2959056
662.1911621,153.3124607
657.3893433,152.5818721
649.3469849,151.7002959
639.6334839,150.7157056
623.3833008,148.5270565
596.0791626,146.2745958
571.3912964,142.4328984
541.5391846,136.9510441
510.962677,129.5447613
465.4960938,121.0414576
431.6625977,113.3565215
392.7999878,105.7405596
355.8384399,95.07901596
307.4940186,82.56392959
252.6625824,67.51021166
204.5451508,47.04806869
154.240509,29.47407694
110.8339081,20.5285248
68.59654999,13.05560478
35.3156929,5.936996814
10.66517639,1.683249489
0,0.21292501
0,0.020899999
0,0.025937467
0,0.027596291
1.121271849,0.195175027
11.34774017,0.728887513
31.30030632,3.822641575
59.89336395,8.935187864
108.4118195,17.28198987
200.5178833,35.49625288
134.0795593,23.44805955
194.8631592,34.27382013
249.2009277,50.30347081
188.1902008,28.92230375
376.3495789,70.42933661
393.1188354,89.50296883
392.5591125,81.76654515
455.0023499,101.5059416
515.9962158,113.6966132
299.1831665,69.40563004
716.0414429,146.4792764
462.9541931,88.02027838
298.6505432,55.69805783
318.9960632,58.77942354
445.5700378,76.20998936
636.6123657,80.94872623
659.2576904,116.0748095
609.203064,140.0950871
635.319397,137.096647
626.6275024,77.62381764
547.3483887,106.355815
482.039978,118.4546941
292.5794067,72.86499065
278.7007141,61.20121993
250.4857788,47.68903672
256.8840942,46.42990313
406.544281,71.90796295
274.822998,51.76422942
235.1175995,55.0360307
209.8327026,46.61624573
188.5017548,39.40752118
119.3592224,22.22039598
69.71149445,12.4069998
67.1149292,11.93890696
16.96722412,2.041866916
5.498968124,0.170823804
0.075218394,0.125275039
0,0.00852284
0,0.007737465
0,0.017987478
0,0.023499971
0,0.023270379
0.133281723,0.002289797
8.32130909,0.245585744
22.97833633,2.236048835
41.18100739,5.482652053
67.41242981,10.04746289
94.82733917,15.49136706
123.7746353,21.70503248
157.3702545,28.53575778
186.8970032,34.39284541
188.2597656,39.90076198
273.5560303,49.72814323
318.8504944,63.89624139
360.3146057,73.56157878
385.8825073,80.41687495
421.9156494,86.88117672
440.825592,91.98594562
468.6940002,100.4090079
494.1002808,105.0654664
519.9248047,110.6374164
530.6645508,112.9807617
545.0551758,115.5154176
559.6043091,119.7544625
555.1140747,119.9141391
536.9675293,116.80329
531.4021606,116.3171967
523.3604126,115.0340815
501.1694641,109.7250331
478.6265869,104.8332636
441.6903687,99.43214272
413.1560059,90.742879
379.4862061,82.78193089
343.8172913,74.30076965
304.7826233,64.30016169
259.3539124,54.51351922
221.8050232,46.42619868
182.681488,37.89166267
150.0362549,29.68877796
116.7001343,20.84954728
83.01708984,14.00921518
51.64804459,8.441223952
25.67718506,3.828891019
7.620811462,1.107600272
0,0.177725012
0,0.035562471
0,0.198792192
13.94806671,1.296137552
32.57748413,6.825440947
93.12807465,15.89329316
143.5936127,25.15624376
189.5400543,40.18663897
236.284317,59.99393197
281.7949219,74.86272775
313.4186096,47.76257216
374.5401001,62.29823688
429.7045288,106.1268198
452.9721069,121.8031737
515.4188843,133.3333935
563.0460205,143.0852819
592.9586182,146.8209988
624.0619507,151.4148461
649.3045044,153.2765561
671.5330811,155.2197987
690.0111694,157.7462169
706.8030396,158.6931129
718.2775879,159.5767822
713.5306396,159.5770209
714.3540039,159.68904
715.4570313,159.5049229
706.6992798,158.2919614
690.987854,156.500238
666.3632813,154.815454
644.875061,152.9668232
623.8025513,149.4603669
596.1123657,144.5863308
532.9103394,134.8668282
476.6947327,126.1049871
436.2009583,116.6880769
396.4568176,106.1571825
340.8871765,94.97298799
298.3809204,86.1146924
253.4474792,74.44978757
210.781311,55.67899763
155.8604431,33.08903238
108.3746719,21.51756908
